icp_number,meter_serial_number,channel_number,started_at,ended_at,value,unit_code,status
0005424879RN95C,208034815,1,1/07/2017 0:00,1/07/2017 0:29,0.38,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 0:30,1/07/2017 0:59,0.378,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 1:00,1/07/2017 1:29,0.424,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 1:30,1/07/2017 1:59,0.401,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 2:00,1/07/2017 2:29,0.375,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 2:30,1/07/2017 2:59,0.377,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 3:00,1/07/2017 3:29,0.375,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 3:30,1/07/2017 3:59,0.372,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 4:00,1/07/2017 4:29,0.377,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 4:30,1/07/2017 4:59,0.371,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 5:00,1/07/2017 5:29,0.369,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 5:30,1/07/2017 5:59,0.364,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 6:00,1/07/2017 6:29,0.365,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 6:30,1/07/2017 6:59,0.37,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 7:00,1/07/2017 7:29,0.367,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 7:30,1/07/2017 7:59,0.364,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 8:00,1/07/2017 8:29,0.366,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 8:30,1/07/2017 8:59,0.367,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 9:00,1/07/2017 9:29,0.367,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 9:30,1/07/2017 9:59,0.366,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 10:00,1/07/2017 10:29,0.364,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 10:30,1/07/2017 10:59,0.37,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 11:00,1/07/2017 11:29,0.368,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 11:30,1/07/2017 11:59,0.393,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 12:00,1/07/2017 12:29,0.401,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 12:30,1/07/2017 12:59,0.369,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 13:00,1/07/2017 13:29,0.367,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 13:30,1/07/2017 13:59,0.36,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 14:00,1/07/2017 14:29,0.363,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 14:30,1/07/2017 14:59,0.39,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 15:00,1/07/2017 15:29,0.423,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 15:30,1/07/2017 15:59,0.48,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 16:00,1/07/2017 16:29,0.495,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 16:30,1/07/2017 16:59,0.801,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 17:00,1/07/2017 17:29,0.706,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 17:30,1/07/2017 17:59,0.574,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 18:00,1/07/2017 18:29,0.64,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 18:30,1/07/2017 18:59,0.687,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 19:00,1/07/2017 19:29,0.529,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 19:30,1/07/2017 19:59,0.355,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 20:00,1/07/2017 20:29,0.357,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 20:30,1/07/2017 20:59,0.359,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 21:00,1/07/2017 21:29,0.358,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 21:30,1/07/2017 21:59,0.358,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 22:00,1/07/2017 22:29,0.355,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 22:30,1/07/2017 22:59,0.354,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 23:00,1/07/2017 23:29,0.354,kWh,estimated
0005424879RN95C,208034815,1,1/07/2017 23:30,1/07/2017 23:59,0.354,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 0:00,2/07/2017 0:29,0.358,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 0:30,2/07/2017 0:59,0.355,kWh,estimated
0005424879RN95C,208034815,1,2/07/2017 1:00,2/07/2017 1:29,0.355,kWh,estimated
